,person_age,person_income,person_home_ownership,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
0,22.0,59000.0,0.0,14.5,3.0,23625.0,16.02,1,0.44000000000000006,0.0,3.0
1,21.0,9600.0,2.0,5.0,5.0,1000.0,11.14,0,0.1,0.0,2.0
2,25.0,9600.0,1.0,1.0,4.0,5500.0,12.87,1,0.44000000000000006,0.0,3.0
3,23.0,65500.0,0.0,4.0,4.0,23625.0,15.23,1,0.44000000000000006,0.0,2.0
4,24.0,54400.0,0.0,8.0,4.0,23625.0,14.27,1,0.44000000000000006,0.0,4.0
5,21.0,9900.0,2.0,2.0,6.0,2500.0,7.14,1,0.25,0.0,2.0
6,26.0,77100.0,0.0,8.0,5.0,23625.0,12.42,1,0.44000000000000006,0.0,3.0
7,24.0,78956.0,0.0,5.0,5.0,23625.0,11.11,1,0.44,0.0,4.0
8,24.0,83000.0,0.0,8.0,6.0,23625.0,8.9,1,0.42,0.0,2.0
9,21.0,10000.0,2.0,6.0,3.0,1600.0,14.74,1,0.16,0.0,3.0
10,22.0,85000.0,0.0,6.0,5.0,23625.0,10.37,1,0.41,0.0,4.0
11,21.0,10000.0,2.0,2.0,6.0,4500.0,8.63,1,0.44000000000000006,0.0,2.0
12,23.0,95000.0,0.0,2.0,6.0,23625.0,7.9,1,0.37,0.0,2.0
13,26.0,108160.0,0.0,4.0,2.0,23625.0,18.39,1,0.32,0.0,4.0
14,23.0,115000.0,0.0,2.0,6.0,23625.0,7.9,0,0.3,0.0,4.0
15,23.0,141002.75,1.0,7.0,5.0,23625.0,10.65,0,0.06,0.0,3.0
16,23.0,120000.0,0.0,0.0,6.0,23625.0,7.9,0,0.29,0.0,4.0
17,23.0,92111.0,0.0,7.0,1.0,23625.0,20.165,1,0.32,0.0,4.0
18,23.0,113000.0,0.0,8.0,3.0,23625.0,18.25,1,0.31,0.0,4.0
19,24.0,10800.0,1.0,8.0,5.0,1750.0,10.99,1,0.16,0.0,2.0
20,25.0,141002.75,0.0,2.0,6.0,23625.0,7.49,0,0.22,0.0,4.0
21,25.0,137000.0,0.0,9.0,2.0,23625.0,16.77,0,0.25,0.0,2.0
22,22.0,65000.0,0.0,4.0,3.0,23625.0,17.58,1,0.44000000000000006,0.0,4.0
23,24.0,10980.0,2.0,0.0,6.0,1500.0,7.29,0,0.14,0.0,3.0
24,22.0,80000.0,0.0,3.0,3.0,23625.0,14.54,1,0.42,0.0,4.0
25,24.0,67746.0,0.0,8.0,4.0,23625.0,12.68,1,0.44000000000000006,0.0,3.0
26,21.0,11000.0,1.0,3.0,2.0,4575.0,17.74,1,0.42,0.0,3.0
27,23.0,11000.0,2.0,0.0,6.0,1400.0,9.32,0,0.13,0.0,3.0
28,24.0,65000.0,0.0,6.0,5.0,23625.0,9.99,1,0.44000000000000006,0.0,3.0
30,21.0,11520.0,2.0,5.0,5.0,2000.0,11.12,1,0.17,0.0,3.0
31,25.0,120000.0,0.0,2.0,6.0,23625.0,6.62,0,0.27,0.0,2.0
32,26.0,95000.0,0.0,7.0,4.0,23625.0,14.17,1,0.33,0.0,3.0
33,25.0,141002.75,0.0,2.0,4.0,23625.0,13.85,0,0.08,0.0,3.0
34,26.0,141002.75,1.0,10.0,4.0,7800.0,13.49,0,0.03,0.0,4.0
35,21.0,12000.0,2.0,5.0,6.0,2500.0,7.51,1,0.21,0.0,4.0
36,22.0,48000.0,0.0,1.0,2.0,23625.0,18.39,1,0.44000000000000006,0.0,2.0
37,24.0,64000.0,0.0,8.0,3.0,23625.0,14.54,1,0.44000000000000006,0.0,3.0
38,25.0,75000.0,0.0,4.0,3.0,23625.0,16.89,1,0.4,0.0,4.0
39,23.0,71500.0,0.0,3.0,3.0,23625.0,11.039866610796844,1,0.42,0.0,4.0
40,26.0,62050.0,0.0,6.0,2.0,23625.0,17.99,1,0.41,0.0,2.0
41,24.0,12000.0,2.0,4.0,5.0,2500.0,12.69,1,0.21,0.0,3.0
42,26.0,141002.75,1.0,10.0,6.0,20000.0,7.88,0,0.07,0.0,4.0
43,23.0,141002.75,2.0,1.0,1.0,23625.0,19.41,0,0.08,0.0,2.0
44,26.0,141002.75,2.0,9.0,5.0,10000.0,10.38,0,0.03,0.0,4.0
45,26.0,141002.75,1.0,0.0,3.0,23625.0,15.33,0,0.08,0.0,3.0
46,25.0,141002.75,1.0,9.0,2.0,18000.0,16.45,0,0.06,0.0,3.0
47,26.0,80690.0,0.0,8.0,6.0,23625.0,7.49,1,0.37,0.0,3.0
48,22.0,66300.0,0.0,4.0,5.0,23625.0,12.69,1,0.38,0.0,3.0
